Sigma Lithium PE Ratio Historical Data,Sigma Lithium PE Ratio Historical Data,Sigma Lithium PE Ratio Historical Data,Sigma Lithium PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.57,,150.78
2024-06-30,12.03,$0.09,133.67
2024-03-31,12.96,$-0.13,0.0
2023-12-31,31.53,$-0.17,0.0
2023-09-30,32.44,$-0.24,0.0
2023-06-30,40.3,$-0.66,0.0
2022-09-30,27.19,$-0.44,0.0
2022-06-30,15.4,$-0.87,0.0
2022-03-31,13.59,$-0.93,0.0
