Docebo PE Ratio Historical Data,Docebo PE Ratio Historical Data,Docebo PE Ratio Historical Data,Docebo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,46.0,,85.19
2024-06-30,38.63,$0.54,71.54
2024-03-31,48.98,$0.22,222.64
2023-12-31,48.38,$0.09,537.56
2023-09-30,40.52,$0.04,1013.0
2023-06-30,39.43,$0.22,179.23
2023-03-31,40.74,$0.45,90.53
2022-12-31,33.14,$0.20,165.7
2022-09-30,27.01,$0.11,245.55
2022-06-30,28.67,$-0.17,0.0
2022-03-31,51.82,$-0.45,0.0
2021-12-31,67.36,$-0.41,0.0
2021-09-30,72.79,$-0.37,0.0
