NuScale Power PE Ratio Historical Data,NuScale Power PE Ratio Historical Data,NuScale Power PE Ratio Historical Data,NuScale Power PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.02,,0.0
2024-06-30,11.69,$-1.03,0.0
2024-03-31,5.31,$-0.85,0.0
2023-12-31,3.29,$-0.80,0.0
2023-09-30,4.9,$-0.73,0.0
2023-06-30,6.8,$-0.66,0.0
2023-03-31,9.09,$-0.61,0.0
2022-12-31,10.26,$-0.45,0.0
2022-09-30,11.68,$-0.27,0.0
2022-06-30,9.99,$-0.08,0.0
2022-03-31,10.47,0,0.0
2021-12-31,10.03,0,0.0
2021-09-30,8.69,0,0.0
