Buenaventura Mining PE Ratio Historical Data,Buenaventura Mining PE Ratio Historical Data,Buenaventura Mining PE Ratio Historical Data,Buenaventura Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.34,,36.05
2024-06-30,16.95,$0.37,45.81
2024-03-31,15.81,$0.06,263.44
2023-12-31,15.17,$0.07,216.71
2023-09-30,8.48,$0.38,22.32
2023-06-30,7.32,$0.41,17.84
2023-03-31,8.06,$0.28,28.8
2022-12-31,7.34,$2.53,2.9
2022-09-30,6.63,$1.37,4.84
2022-06-30,6.51,$1.09,5.97
2022-03-31,9.86,$1.40,7.04
2021-12-31,7.16,$-1.04,0.0
2021-09-30,6.62,$-0.39,0.0
2021-06-30,8.86,$0.07,126.53
2021-03-31,9.82,$-0.18,0.0
2020-12-31,11.93,$-0.54,0.0
2020-09-30,11.96,$-0.51,0.0
2020-06-30,8.95,$-0.59,0.0
2020-03-31,7.13,$-0.45,0.0
2019-12-31,14.78,$-0.04,0.0
2019-09-30,14.83,$-0.10,0.0
2019-06-30,16.29,$-0.16,0.0
2019-03-31,16.82,$-0.04,0.0
2018-12-31,15.79,$-0.04,0.0
2018-09-30,13.0,$0.26,50.0
2018-06-30,13.21,$0.25,52.85
2018-03-31,14.74,$0.07,210.51
2017-12-31,13.62,$0.24,56.76
2017-09-30,12.35,$-1.39,0.0
2017-06-30,11.1,$-1.44,0.0
2017-03-31,11.57,$-1.20,0.0
2016-12-31,10.84,$-1.28,0.0
2016-09-30,13.27,$-0.83,0.0
2016-06-30,11.46,$-0.82,0.0
2016-03-31,7.06,$-1.11,0.0
2015-12-31,4.1,$-1.24,0.0
2015-09-30,5.71,$-0.83,0.0
2015-06-30,9.95,$-0.43,0.0
2015-03-31,9.71,$-0.27,0.0
2014-12-31,9.16,$-0.40,0.0
2014-09-30,11.07,$-0.79,0.0
2014-06-30,11.29,$-0.84,0.0
2014-03-31,12.01,$-0.86,0.0
2013-12-31,10.72,$-0.40,0.0
2013-09-30,11.18,$1.27,8.8
2013-06-30,14.09,$1.74,8.1
2013-03-31,24.48,$2.27,10.78
2012-12-31,33.9,$2.69,12.6
2012-09-30,36.52,$3.06,11.93
2012-06-30,35.6,$3.15,11.3
2012-03-31,37.42,$3.35,11.17
2011-12-31,35.59,$3.39,10.5
2011-09-30,34.85,$3.36,10.37
2011-06-30,35.07,$3.22,10.89
2011-03-31,39.37,$2.86,13.77
2010-12-31,44.86,$2.61,17.19
2010-09-30,41.27,$2.56,16.12
2010-06-30,35.11,$2.47,14.22
2010-03-31,28.03,$2.56,10.95
2009-12-31,30.3,$2.34,12.95
