Kosmos Energy PE Ratio Historical Data,Kosmos Energy PE Ratio Historical Data,Kosmos Energy PE Ratio Historical Data,Kosmos Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.21,,9.57
2023-12-31,6.71,$0.44,15.25
2023-09-30,8.18,$0.16,51.13
2023-06-30,5.99,$0.45,13.31
2023-03-31,7.44,$0.65,11.45
2022-12-31,6.36,$0.48,13.25
2022-09-30,5.17,$0.94,5.5
2022-06-30,6.19,$0.40,15.48
2022-03-31,7.19,$0.27,26.63
2021-12-31,3.46,$0.13,26.62
2021-09-30,2.96,$-0.31,0.0
2024-06-30,5.54,$-0.22,0.0
2021-06-30,3.46,$-0.43,0.0
2021-03-31,3.07,$-0.78,0.0
2020-12-31,2.35,$-0.37,0.0
2020-09-30,0.98,$-0.84,0.0
2020-06-30,1.66,$-0.84,0.0
2024-03-31,5.96,$-0.31,0.0
2020-03-31,0.9,$-0.46,0.0
2019-12-31,5.6,$-0.14,0.0
2019-09-30,6.09,$0.38,16.02
2019-06-30,6.07,$0.03,202.43
2019-03-31,5.99,$-0.27,0.0
2018-12-31,3.88,$-0.27,0.0
2018-09-30,8.92,$-1.01,0.0
2018-06-30,7.89,$-0.86,0.0
2018-03-31,6.01,$-0.62,0.0
2017-12-31,6.53,$-0.56,0.0
2017-09-30,7.59,$-0.40,0.0
2017-06-30,6.11,$-0.39,0.0
2017-03-31,6.35,$-0.65,0.0
2016-12-31,6.69,$-0.52,0.0
2016-09-30,6.11,$-0.22,0.0
2016-06-30,5.2,$-0.27,0.0
2015-12-31,4.96,$-0.20,0.0
2015-09-30,5.32,$0.07,76.04
2015-06-30,8.04,$-0.23,0.0
2015-03-31,7.55,$0.02,377.25
2014-12-31,8.0,$0.38,21.06
2016-03-31,5.55,$0.24,23.13
2014-09-30,9.5,$0.40,23.75
2014-06-30,10.71,$0.23,46.57
2014-03-31,10.49,$-0.11,0.0
2013-12-31,10.66,$-0.25,0.0
2013-09-30,9.81,$-0.18,0.0
2013-06-30,9.69,$-0.16,0.0
2013-03-31,10.78,$-0.04,0.0
2012-12-31,11.78,$-0.19,0.0
2012-09-30,10.86,$-0.18,0.0
2012-06-30,10.54,$0.05,210.81
2012-03-31,12.63,$0.09,140.33
