Li Auto PE Ratio Historical Data,Li Auto PE Ratio Historical Data,Li Auto PE Ratio Historical Data,Li Auto PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.75,,36.54
2024-06-30,17.88,$0.65,27.51
2024-03-31,30.28,$0.51,59.37
2023-06-30,35.1,$0.43,81.63
2023-03-31,24.95,$0.07,356.43
2022-03-31,25.81,$-0.14,0.0
