Duckhorn Portfolio PE Ratio Historical Data,Duckhorn Portfolio PE Ratio Historical Data,Duckhorn Portfolio PE Ratio Historical Data,Duckhorn Portfolio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.97,,23.34
2024-07-31,7.26,$0.47,15.45
2024-04-30,8.47,$0.54,15.69
2024-01-31,8.63,$0.57,15.14
2023-10-31,10.43,$0.56,18.63
2023-07-31,12.58,$0.60,20.97
2023-04-30,15.1,$0.50,30.2
2023-01-31,16.18,$0.49,33.02
2022-10-31,14.62,$0.52,28.12
2022-07-31,18.34,$0.53,34.6
2022-04-30,19.42,$0.54,35.96
2022-01-31,19.96,$0.48,41.58
