Delek Logistics Partners PE Ratio Historical Data,Delek Logistics Partners PE Ratio Historical Data,Delek Logistics Partners PE Ratio Historical Data,Delek Logistics Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.83,,13.34
2024-06-30,39.38,$2.91,13.53
2024-03-31,38.8,$2.77,14.01
2023-12-31,39.94,$2.90,13.77
2023-09-30,37.98,$3.37,11.27
2023-06-30,48.2,$3.60,13.39
2023-03-31,40.91,$3.61,11.33
2022-12-31,39.04,$3.66,10.67
2022-09-30,43.17,$3.64,11.86
2022-06-30,40.53,$3.61,11.23
2022-03-31,35.91,$3.87,9.28
2021-12-31,34.14,$3.90,8.75
2021-09-30,35.42,$4.20,8.43
2021-06-30,32.11,$4.38,7.33
2020-12-31,23.34,$4.14,5.64
2020-09-30,20.03,$3.72,5.39
2020-06-30,15.75,$3.29,4.79
2020-03-31,5.96,$3.00,1.99
2019-12-31,20.37,$2.93,6.95
2021-03-31,26.91,$2.92,9.22
2019-09-30,19.4,$2.67,7.27
2019-06-30,19.33,$2.46,7.86
2019-03-31,19.08,$2.56,7.45
2018-12-31,16.74,$2.64,6.34
2018-09-30,18.98,$2.63,7.22
2018-06-30,15.03,$2.45,6.13
2018-03-31,15.01,$2.25,6.67
2017-12-31,16.4,$2.09,7.85
2017-09-30,15.8,$1.99,7.94
2017-06-30,16.21,$1.90,8.53
2017-03-31,16.12,$1.97,8.18
2016-12-31,13.56,$2.08,6.52
2016-09-30,13.19,$2.16,6.1
2016-06-30,12.03,$2.45,4.91
2016-03-31,13.88,$2.49,5.57
2015-12-31,15.44,$2.51,6.15
2015-09-30,12.85,$2.77,4.64
2015-06-30,19.34,$2.66,7.27
2015-03-31,18.05,$2.83,6.38
2014-12-31,14.53,$2.86,5.08
2014-09-30,16.48,$2.51,6.56
2014-06-30,13.75,$2.43,5.66
2014-03-31,13.13,$2.03,6.47
2013-12-31,12.32,$1.94,6.35
2013-09-30,11.75,$1.82,6.46
