Seadrill PE Ratio Historical Data,Seadrill PE Ratio Historical Data,Seadrill PE Ratio Historical Data,Seadrill PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.66,,5.93
2024-06-30,51.5,$6.35,8.11
2024-03-31,50.3,$4.02,12.51
2023-12-31,47.28,$4.04,11.7
2023-09-30,44.79,$7.84,5.71
