Gold Fields PE Ratio Historical Data,Gold Fields PE Ratio Historical Data,Gold Fields PE Ratio Historical Data,Gold Fields PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.24,,0.0
2018-06-30,3.01,$-0.33,0.0
2017-06-30,2.88,$-0.31,0.0
2016-12-31,2.46,$-0.29,0.0
2015-12-31,2.24,$-0.31,0.0
2015-09-30,2.15,$-0.01,0.0
2015-06-30,2.61,0,0.0
2015-03-31,3.24,$-0.02,0.0
2014-12-31,3.65,$0.02,182.32
2014-09-30,3.14,$0.05,62.79
2017-12-31,3.59,$-0.66,0.0
2014-06-30,2.98,$-0.66,0.0
2014-03-31,2.96,$-0.87,0.0
2013-12-31,2.55,$-0.45,0.0
2013-09-30,3.64,$0.30,12.14
2013-06-30,4.18,$0.53,7.9
2013-03-31,6.18,$0.99,6.24
2012-12-31,9.85,$0.94,10.48
2012-09-30,10.14,$1.33,7.62
2012-06-30,9.95,$1.50,6.63
2012-03-31,10.8,$1.48,7.3
2011-12-31,11.61,$1.33,8.73
2011-09-30,11.66,$0.73,15.98
2011-06-30,11.01,$0.46,23.94
2011-03-31,13.18,$0.38,34.68
2010-12-31,13.61,$0.22,61.86
2010-09-30,11.46,$0.62,18.49
2010-06-30,9.97,$0.67,14.88
2010-03-31,9.41,$0.45,20.91
2009-12-31,9.72,$0.63,15.43
2009-09-30,10.21,$0.37,27.61
2009-06-30,8.85,$0.19,46.6
2009-03-31,8.33,$0.24,34.72
2024-06-30,14.72,0,0.0
2023-12-31,14.08,0,0.0
2023-06-30,13.28,0,0.0
2022-12-31,9.72,0,0.0
2022-06-30,8.38,0,0.0
2021-12-31,9.99,0,0.0
2021-06-30,7.96,0,0.0
2020-12-31,8.11,0,0.0
2020-06-30,8.16,0,0.0
