Air Lease PE Ratio Historical Data,Air Lease PE Ratio Historical Data,Air Lease PE Ratio Historical Data,Air Lease PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.0,,9.64
2024-06-30,47.3,$4.67,10.13
2024-03-31,51.19,$4.96,10.32
2023-12-31,41.55,$5.15,8.07
2023-09-30,38.84,$4.47,8.69
2023-06-30,41.04,$4.27,9.61
2023-03-31,38.42,$4.12,9.32
2022-12-31,37.29,$-1.15,0.0
2022-09-30,29.94,$-1.12,0.0
2022-06-30,32.12,$-1.15,0.0
2022-03-31,42.69,$-1.35,0.0
2021-12-31,42.1,$3.56,11.83
2021-09-30,37.28,$3.26,11.44
2021-06-30,39.4,$3.41,11.55
2021-03-31,46.09,$3.92,11.76
2020-12-31,41.65,$4.39,9.49
2020-09-30,27.48,$4.87,5.64
2020-06-30,27.23,$5.19,5.25
2020-03-31,20.49,$5.03,4.07
2019-12-31,43.54,$5.09,8.55
2019-09-30,38.2,$4.91,7.78
2019-06-30,37.65,$4.89,7.7
2019-03-31,31.18,$4.83,6.46
2018-12-31,27.32,$4.60,5.94
2018-09-30,41.33,$7.58,5.45
2018-06-30,37.73,$7.16,5.27
2018-03-31,38.23,$7.04,5.43
2017-12-31,43.04,$6.82,6.31
2017-09-30,38.06,$3.49,10.9
2017-06-30,33.3,$3.45,9.65
2017-03-31,34.47,$3.37,10.23
2016-12-31,30.48,$3.44,8.86
2016-09-30,25.32,$3.29,7.7
2016-06-30,23.69,$3.14,7.54
2016-03-31,28.36,$3.00,9.45
2015-12-31,29.52,$2.34,12.61
2015-09-30,27.22,$2.25,12.1
2015-06-30,29.8,$2.12,14.06
2015-03-31,33.14,$2.00,16.57
2014-12-31,30.1,$2.38,12.65
2014-09-30,28.48,$2.28,12.49
2014-06-30,33.78,$2.16,15.64
2014-03-31,32.62,$1.99,16.39
2013-12-31,27.17,$1.80,15.09
2013-09-30,24.16,$1.63,14.82
2013-06-30,24.07,$1.53,15.73
2013-03-31,25.56,$1.40,18.26
2012-12-31,18.73,$1.28,14.63
2012-09-30,17.77,$1.14,15.59
2012-06-30,16.89,$0.96,17.59
2012-03-31,20.96,$0.76,27.59
