ProFrac Holding PE Ratio Historical Data,ProFrac Holding PE Ratio Historical Data,ProFrac Holding PE Ratio Historical Data,ProFrac Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.58,,0.0
2024-06-30,7.41,$-1.33,0.0
2024-03-31,8.36,$-0.93,0.0
2023-12-31,8.48,$-0.53,0.0
2023-09-30,10.88,$0.99,10.99
2023-06-30,11.16,$2.29,4.87
2023-03-31,12.67,$2.47,5.13
