TELUS (CDA) PE Ratio Historical Data,TELUS (CDA) PE Ratio Historical Data,TELUS (CDA) PE Ratio Historical Data,TELUS (CDA) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.84,,38.4
2024-06-30,5.78,$0.10,57.8
2024-03-31,8.46,$0.15,56.4
2023-12-31,8.58,$0.15,57.2
2023-09-30,7.62,$0.18,42.33
2023-06-30,15.18,$0.37,41.03
2023-03-31,20.23,$0.61,33.16
2022-12-31,19.79,$0.69,28.68
2022-09-30,26.16,$0.69,37.91
2022-06-30,25.07,$0.56,44.77
2022-03-31,24.71,$0.41,60.27
2021-12-31,33.06,$0.29,114.0
