Enel Chile S.A PE Ratio Historical Data,Enel Chile S.A PE Ratio Historical Data,Enel Chile S.A PE Ratio Historical Data,Enel Chile S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.81,,4.53
2024-06-30,2.8,$0.62,4.52
2024-03-31,2.84,$0.52,5.46
2023-12-31,2.98,$0.53,5.63
2023-09-30,2.72,$1.11,2.45
2023-06-30,3.06,$1.05,2.92
2023-03-31,2.23,$1.06,2.1
2022-12-31,1.84,$0.99,1.86
2022-09-30,1.13,$0.15,7.53
2022-06-30,0.91,$0.06,15.14
2022-03-31,1.28,$0.09,14.19
2021-12-31,1.46,$0.08,18.22
2021-09-30,1.94,$0.15,12.94
2021-06-30,2.38,$-0.19,0.0
2021-03-31,2.93,$-0.15,0.0
2020-09-30,2.57,$-0.07,0.0
2020-06-30,2.82,$-0.17,0.0
2020-03-31,2.33,$0.18,12.96
2018-03-31,4.18,$0.12,34.8
2017-09-30,3.88,0,0.0
