Zeta Global Holdings PE Ratio Historical Data,Zeta Global Holdings PE Ratio Historical Data,Zeta Global Holdings PE Ratio Historical Data,Zeta Global Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.0,,0.0
2024-06-30,17.65,$-0.88,0.0
2024-03-31,10.93,$-1.06,0.0
2023-12-31,8.82,$-1.21,0.0
2023-09-30,8.35,$-1.35,0.0
2023-06-30,8.54,$-1.57,0.0
2023-03-31,10.83,$-1.86,0.0
2022-12-31,8.17,$-2.02,0.0
2022-09-30,6.61,$-2.01,0.0
2022-06-30,4.52,$-2.05,0.0
2022-03-31,12.75,$-3.34,0.0
