Integral Ad Science Holding PE Ratio Historical Data,Integral Ad Science Holding PE Ratio Historical Data,Integral Ad Science Holding PE Ratio Historical Data,Integral Ad Science Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.73,,1073.0
2024-06-30,9.72,$0.01,972.0
2024-03-31,9.97,$0.01,997.0
2023-12-31,14.39,$0.04,359.75
2023-09-30,11.89,$0.05,237.8
2023-06-30,17.98,$0.14,128.43
2023-03-31,14.27,$0.10,142.7
2022-12-31,8.79,$0.09,97.67
2022-09-30,7.24,$-0.01,0.0
2022-06-30,9.93,$-0.07,0.0
2022-03-31,13.8,$-0.34,0.0
