Archer Aviation PE Ratio Historical Data,Archer Aviation PE Ratio Historical Data,Archer Aviation PE Ratio Historical Data,Archer Aviation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.19,,0.0
2024-06-30,3.52,$-1.22,0.0
2024-03-31,4.62,$-1.63,0.0
2023-12-31,6.14,$-1.73,0.0
2023-09-30,5.06,$-1.77,0.0
2023-06-30,4.12,$-1.96,0.0
2023-03-31,2.86,$-1.53,0.0
2022-12-31,1.87,$-1.32,0.0
2022-09-30,2.61,$-0.93,0.0
2022-06-30,3.08,$-2.55,0.0
2022-03-31,4.81,$-2.25,0.0
2021-12-31,6.04,$-2.00,0.0
2021-09-30,8.88,$-2.00,0.0
