C3.ai PE Ratio Historical Data,C3.ai PE Ratio Historical Data,C3.ai PE Ratio Historical Data,C3.ai PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.93,,0.0
2024-07-31,26.75,$-2.28,0.0
2024-04-30,22.53,$-2.34,0.0
2024-01-31,24.78,$-2.33,0.0
2023-10-31,24.4,$-2.30,0.0
2023-07-31,42.0,$-2.34,0.0
2023-04-30,17.82,$-2.45,0.0
2023-01-31,19.85,$-2.42,0.0
2022-10-31,13.11,$-2.23,0.0
2022-07-31,18.41,$-2.15,0.0
2022-04-30,16.99,$-1.86,0.0
2022-01-31,26.34,$-1.55,0.0
2021-10-31,45.12,$-1.40,0.0
