Lemonade PE Ratio Historical Data,Lemonade PE Ratio Historical Data,Lemonade PE Ratio Historical Data,Lemonade PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.02,,0.0
2024-03-31,16.41,$-3.13,0.0
2023-12-31,16.13,$-3.41,0.0
2023-09-30,11.62,$-3.73,0.0
2023-06-30,16.85,$-3.66,0.0
2023-03-31,14.26,$-4.06,0.0
2022-12-31,13.68,$-4.21,0.0
2024-06-30,16.5,$-4.49,0.0
2022-09-30,21.18,$-4.82,0.0
2022-06-30,18.26,$-4.53,0.0
2022-03-31,26.37,$-4.33,0.0
2021-12-31,42.11,$-3.93,0.0
2021-09-30,67.01,$-3.39,0.0
2021-06-30,109.41,$-2.88,0.0
