Sitio Royalties PE Ratio Historical Data,Sitio Royalties PE Ratio Historical Data,Sitio Royalties PE Ratio Historical Data,Sitio Royalties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.66,,0.0
2024-06-30,23.61,$-0.21,0.0
2024-03-31,24.72,$-0.37,0.0
2023-12-31,23.51,$-0.19,0.0
2023-09-30,24.21,$0.28,86.46
2023-06-30,26.27,$0.98,26.81
2023-03-31,22.6,$1.38,16.38
2022-12-31,28.76,$0.98,29.35
2022-09-30,21.6,$1.37,15.77
2022-06-30,22.07,$1.11,19.88
2022-03-31,25.03,$1.00,25.03
2021-12-31,17.64,$1.00,17.64
2021-09-30,16.52,$0.64,25.82
2021-06-30,17.29,$0.24,72.02
2021-03-31,14.97,$-0.08,0.0
2020-12-31,10.32,$0.24,42.99
2020-09-30,7.77,$0.40,19.43
2020-06-30,10.09,$0.60,16.81
2020-03-31,6.72,$0.96,7.0
2019-12-31,21.39,$1.24,17.25
2019-09-30,17.05,$1.60,10.65
2019-06-30,24.29,$1.48,16.41
2019-03-31,25.02,$1.16,21.57
2018-12-31,23.46,$0.68,34.5
2018-09-30,30.06,$0.12,250.53
2018-03-31,26.29,0,0.0
