RLX Technology PE Ratio Historical Data,RLX Technology PE Ratio Historical Data,RLX Technology PE Ratio Historical Data,RLX Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,1.63,,40.75
2024-06-30,1.84,$0.04,46.0
2024-03-31,1.92,$0.05,38.4
2023-12-31,2.0,$0.05,40.0
2023-09-30,1.51,0,0.0
2023-06-30,1.77,$0.03,59.0
2023-03-31,2.9,$0.06,48.33
2022-12-31,2.3,$0.15,15.33
2022-09-30,1.05,$0.24,4.38
2022-06-30,2.13,$0.30,7.1
2022-03-31,1.79,$0.34,5.26
2021-12-31,3.9,$0.23,16.96
