CCC Intelligent Solutions Holdings PE Ratio Historical Data,CCC Intelligent Solutions Holdings PE Ratio Historical Data,CCC Intelligent Solutions Holdings PE Ratio Historical Data,CCC Intelligent Solutions Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.17,,0.0
2024-06-30,11.11,$-0.02,0.0
2024-03-31,11.96,$-0.21,0.0
2023-12-31,11.39,$-0.21,0.0
2023-09-30,13.35,$-0.20,0.0
2023-06-30,11.21,$-0.14,0.0
2023-03-31,8.97,$0.04,224.25
2022-12-31,8.7,$0.06,145.0
2022-09-30,9.1,$-0.04,0.0
2022-06-30,9.2,$-0.40,0.0
2022-03-31,11.04,$2.06,5.36
2021-12-31,11.39,$2.04,5.58
2021-09-30,10.51,$2.14,4.91
