Vontier PE Ratio Historical Data,Vontier PE Ratio Historical Data,Vontier PE Ratio Historical Data,Vontier PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.31,,13.63
2024-06-30,38.2,$2.59,14.75
2024-03-31,45.36,$2.76,16.43
2023-12-31,34.55,$2.41,14.34
2023-09-30,30.92,$2.16,14.31
2023-06-30,32.21,$1.90,16.95
2023-03-31,27.34,$1.49,18.35
2022-12-31,19.33,$2.46,7.86
2022-09-30,16.71,$2.69,6.21
2022-06-30,22.96,$3.12,7.36
2022-03-31,25.34,$3.39,7.47
2021-12-31,30.64,$2.43,12.61
2021-09-30,33.47,$2.58,12.97
