Despegar PE Ratio Historical Data,Despegar PE Ratio Historical Data,Despegar PE Ratio Historical Data,Despegar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.18,,472.67
2024-06-30,13.23,$0.03,441.0
2024-03-31,11.96,$0.21,56.95
2023-12-31,9.46,$0.04,236.5
2023-09-30,7.25,$-0.26,0.0
2023-06-30,7.05,$-0.36,0.0
2023-03-31,6.14,$-0.85,0.0
2022-12-31,5.13,$-1.20,0.0
2022-09-30,5.7,$-1.12,0.0
2022-06-30,8.1,$-1.29,0.0
2022-03-31,12.2,$-1.51,0.0
2021-12-31,9.79,$-1.60,0.0
2021-09-30,12.03,$-1.79,0.0
2021-06-30,13.21,$-2.01,0.0
2021-03-31,13.63,$-2.37,0.0
2020-12-31,12.81,$-2.05,0.0
2020-09-30,6.36,$-1.68,0.0
2020-06-30,7.18,$-1.13,0.0
2020-03-31,5.67,$-0.54,0.0
2019-12-31,13.48,$-0.29,0.0
2019-09-30,11.32,$-0.21,0.0
2019-06-30,13.89,$-0.18,0.0
2019-03-31,14.9,$0.05,298.0
2018-12-31,12.41,$0.26,47.73
2018-09-30,16.87,$0.41,41.15
