Telecom Argentina Stet - France Telecom S.A PE Ratio Historical Data,Telecom Argentina Stet - France Telecom S.A PE Ratio Historical Data,Telecom Argentina Stet - France Telecom S.A PE Ratio Historical Data,Telecom Argentina Stet - France Telecom S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.57,,95.22
2024-06-30,7.23,$0.09,80.33
2024-03-31,7.95,$0.04,198.75
2023-12-31,7.15,$-1.49,0.0
2023-09-30,4.79,$0.05,95.8
2023-06-30,6.09,$-3.67,0.0
2023-03-31,4.99,$-3.62,0.0
2022-12-31,5.45,$-3.45,0.0
2022-09-30,4.01,$-2.64,0.0
2022-06-30,4.55,$0.91,5.0
2022-03-31,6.01,$0.49,12.27
2021-12-31,5.1,$0.21,24.29
2021-09-30,4.95,$-0.11,0.0
2021-06-30,4.94,$-0.28,0.0
2021-03-31,5.13,$-0.04,0.0
2020-12-31,6.09,$-0.17,0.0
2020-09-30,2.89,$0.29,9.97
2020-06-30,3.96,$-0.56,0.0
2020-03-31,4.08,$-0.25,0.0
2019-12-31,5.02,$-0.28,0.0
2019-09-30,4.13,$0.89,4.64
2019-06-30,7.12,$0.84,8.47
2019-03-31,5.88,$-0.29,0.0
2018-12-31,6.27,$0.05,125.35
2018-09-30,7.02,$-0.86,0.0
2018-06-30,7.15,$0.75,9.53
2018-03-31,12.62,$2.14,5.9
2017-12-31,13.77,$2.37,5.81
2017-09-30,11.25,$2.28,4.93
2017-06-30,9.24,$1.93,4.79
2017-03-31,8.09,$1.69,4.79
2016-12-31,6.63,$1.38,4.8
2016-09-30,6.68,$1.25,5.34
2016-06-30,6.52,$1.43,4.56
2016-03-31,6.28,$1.67,3.76
2015-12-31,5.64,$1.93,2.92
2015-09-30,5.11,$2.22,2.3
2015-06-30,6.32,$2.29,2.76
2015-03-31,7.8,$2.33,3.35
2014-12-31,6.64,$2.30,2.89
2014-09-30,6.97,$2.21,3.15
2014-06-30,7.94,$2.46,3.23
2014-03-31,6.21,$2.49,2.49
2013-12-31,5.61,$2.71,2.07
2013-09-30,5.63,$2.94,1.92
2013-06-30,4.67,$2.87,1.63
2013-03-31,4.55,$2.91,1.56
2012-12-31,3.57,$2.94,1.21
2012-09-30,3.14,$2.79,1.13
2012-06-30,3.71,$2.76,1.34
2012-03-31,5.22,$2.83,1.84
2011-12-31,5.27,$2.80,1.88
2011-09-30,5.49,$2.80,1.96
2011-06-30,7.68,$2.72,2.82
2011-03-31,6.97,$2.58,2.7
2010-12-31,7.0,$2.34,2.99
2010-09-30,5.85,$2.22,2.63
2010-06-30,4.53,$2.05,2.21
2010-03-31,4.95,$1.92,2.58
2009-12-31,4.45,$1.85,2.4
