MongoDB PE Ratio Historical Data,MongoDB PE Ratio Historical Data,MongoDB PE Ratio Historical Data,MongoDB PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,290.79,,0.0
2024-04-30,365.18,$-2.81,0.0
2024-01-31,400.52,$-2.48,0.0
2023-10-31,344.59,$-2.64,0.0
2023-07-31,423.4,$-3.46,0.0
2023-04-30,239.96,$-4.67,0.0
2023-01-31,214.21,$-5.04,0.0
2022-10-31,183.03,$-5.37,0.0
2022-07-31,312.47,$-5.36,0.0
2022-04-30,354.93,$-4.84,0.0
2022-01-31,405.11,$-4.74,0.0
2021-10-31,521.29,$-4.73,0.0
2021-07-31,358.92,$-4.73,0.0
2021-04-30,297.46,$-4.61,0.0
2021-01-31,369.61,$-4.51,0.0
2020-10-31,228.47,$-4.36,0.0
2020-07-31,229.08,$-3.89,0.0
2020-04-30,162.13,$-3.46,0.0
2020-01-31,163.91,$-3.13,0.0
2019-10-31,127.77,$-2.44,0.0
2019-07-31,143.22,$-2.28,0.0
2019-04-30,140.92,$-2.22,0.0
2019-01-31,92.36,$-2.19,0.0
2018-10-31,81.5,$-2.30,0.0
2018-07-31,54.11,$-3.10,0.0
