Mister Car Wash PE Ratio Historical Data,Mister Car Wash PE Ratio Historical Data,Mister Car Wash PE Ratio Historical Data,Mister Car Wash PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.55,,29.77
2024-06-30,7.12,$0.22,32.36
2024-03-31,7.75,$0.23,33.7
2023-12-31,8.64,$0.24,36.0
2023-09-30,5.51,$0.25,22.04
2023-06-30,9.65,$0.26,37.12
2023-03-31,8.62,$0.29,29.72
2022-12-31,9.23,$0.34,27.15
2022-09-30,8.58,$0.40,21.45
2022-06-30,10.88,$0.41,26.54
2022-03-31,14.79,$-0.12,0.0
