Corporacion America Airports S.A PE Ratio Historical Data,Corporacion America Airports S.A PE Ratio Historical Data,Corporacion America Airports S.A PE Ratio Historical Data,Corporacion America Airports S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.17,,7.7
2024-06-30,16.64,$2.36,7.05
2024-03-31,16.8,$2.48,6.77
2023-12-31,16.06,$1.73,9.28
2023-09-30,13.34,$1.00,13.34
2023-06-30,11.59,$1.07,10.83
2023-03-31,10.18,$1.07,9.51
2022-12-31,8.73,$1.03,8.48
2022-09-30,6.64,$0.81,8.2
2022-06-30,5.58,$0.36,15.5
2022-03-31,6.0,$-0.28,0.0
2021-12-31,5.77,$-0.72,0.0
2021-09-30,5.63,$-0.82,0.0
2021-06-30,5.72,$-1.63,0.0
2021-03-31,4.91,$-1.77,0.0
2020-12-31,3.99,$-1.58,0.0
2020-09-30,2.23,$-1.57,0.0
2020-06-30,2.18,$-0.82,0.0
2020-03-31,1.85,$-0.16,0.0
2019-12-31,6.0,$0.12,50.0
2019-09-30,4.53,$0.60,7.55
2019-06-30,8.07,$0.66,12.23
2019-03-31,8.27,$0.21,39.38
2018-12-31,6.63,$0.19,34.89
