Choice Hotels PE Ratio Historical Data,Choice Hotels PE Ratio Historical Data,Choice Hotels PE Ratio Historical Data,Choice Hotels PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,134.15,,27.89
2024-06-30,118.45,$4.81,24.63
2024-03-31,125.47,$4.66,26.93
2023-12-31,112.51,$5.06,22.24
2023-09-30,121.35,$5.52,21.98
2023-06-30,115.85,$5.56,20.84
2023-03-31,115.53,$5.80,19.92
2022-12-31,110.77,$5.98,18.52
2022-09-30,107.48,$6.08,17.68
2022-06-30,109.31,$6.31,17.32
2022-03-31,138.52,$5.95,23.28
2021-12-31,151.93,$5.15,29.5
2021-09-30,123.08,$4.15,29.66
2021-06-30,115.56,$2.33,49.6
2021-03-31,104.12,$0.76,137.0
2020-12-31,103.57,$1.35,76.72
2020-09-30,83.42,$1.96,42.56
2020-06-30,76.57,$3.06,25.02
2020-03-31,59.21,$4.43,13.37
2019-12-31,99.99,$3.98,25.12
2019-09-30,85.61,$3.79,22.59
2019-06-30,83.52,$3.84,21.75
2019-03-31,74.42,$3.91,19.03
2018-12-31,68.52,$3.81,17.99
2018-09-30,79.53,$3.14,25.33
2018-06-30,72.18,$2.57,28.09
2018-03-31,76.31,$1.96,38.93
2017-12-31,73.68,$2.03,36.3
2017-09-30,60.51,$2.70,22.41
2017-06-30,60.63,$2.70,22.46
2017-03-31,58.88,$2.59,22.73
2016-12-31,52.54,$2.43,21.62
2016-09-30,42.1,$2.38,17.69
2016-06-30,44.27,$2.26,19.59
2016-03-31,50.02,$2.20,22.74
2015-12-31,46.48,$2.22,20.94
2015-09-30,43.76,$2.14,20.45
2015-06-30,49.61,$2.09,23.74
2015-03-31,58.39,$2.07,28.21
2014-12-31,50.9,$2.02,25.2
2014-09-30,46.91,$2.05,22.88
2014-06-30,42.5,$2.08,20.43
2014-03-31,41.17,$1.96,21.01
2013-12-31,43.96,$1.90,23.13
2013-09-30,38.34,$1.86,20.61
2013-06-30,35.23,$1.92,18.35
2013-03-31,37.39,$1.99,18.79
2012-12-31,29.58,$2.07,14.29
2012-09-30,27.99,$2.07,13.52
2012-06-30,26.12,$2.02,12.93
2012-03-31,24.31,$1.93,12.6
2011-12-31,24.65,$1.85,13.32
2011-09-30,19.16,$1.83,10.47
2011-06-30,21.38,$1.80,11.88
2011-03-31,24.76,$1.79,13.83
2010-12-31,24.27,$1.79,13.56
2010-09-30,23.01,$1.79,12.86
2010-06-30,18.97,$1.66,11.43
2010-03-31,21.73,$1.63,13.33
2009-12-31,19.66,$1.64,11.99
