Extra Space Storage Inc PE Ratio Historical Data,Extra Space Storage Inc PE Ratio Historical Data,Extra Space Storage Inc PE Ratio Historical Data,Extra Space Storage Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,177.0,,45.74
2024-06-30,155.41,$3.87,40.16
2024-03-31,145.49,$4.49,32.4
2023-12-31,156.9,$5.00,31.38
2023-09-30,117.75,$5.63,20.91
2023-06-30,142.52,$6.40,22.27
2022-12-31,137.92,$6.41,21.52
2022-09-30,160.32,$6.89,23.27
2022-06-30,156.69,$6.70,23.39
2022-03-31,187.6,$6.37,29.45
2021-12-31,205.27,$6.11,33.6
2023-03-31,154.25,$5.64,27.35
2021-09-30,151.19,$5.37,28.15
2021-06-30,146.44,$4.85,30.19
2021-03-31,117.75,$4.43,26.58
2020-12-31,102.15,$3.76,27.17
2020-09-30,93.56,$3.40,27.52
2020-03-31,82.3,$3.33,24.72
2019-12-31,89.94,$3.24,27.76
2019-09-30,98.61,$3.18,31.01
2019-06-30,88.87,$3.15,28.21
2019-03-31,84.66,$3.36,25.2
2018-12-31,74.52,$3.37,22.11
2020-06-30,80.13,$3.27,24.5
2018-09-30,70.73,$4.16,17.0
2018-06-30,80.71,$3.88,20.8
2018-03-31,70.03,$3.82,18.33
2017-12-31,69.47,$3.76,18.48
2017-09-30,62.92,$2.72,23.13
2017-06-30,60.81,$2.91,20.9
2017-03-31,57.4,$2.88,19.93
2016-12-31,58.97,$2.90,20.33
2016-09-30,59.98,$2.32,25.85
2016-06-30,69.19,$1.97,35.12
2016-03-31,69.26,$1.78,38.91
2015-12-31,64.93,$1.58,41.09
2015-09-30,56.4,$1.90,29.69
2015-06-30,47.29,$1.79,26.42
2015-03-31,48.57,$1.68,28.91
2014-12-31,41.85,$1.53,27.35
2014-09-30,36.51,$1.80,20.28
2014-06-30,37.37,$1.59,23.5
2014-03-31,33.74,$1.54,21.91
2013-12-31,29.07,$1.51,19.25
2013-09-30,31.26,$1.19,26.27
2013-06-30,28.39,$1.30,21.84
2013-03-31,26.33,$1.21,21.76
2012-12-31,24.24,$1.14,21.26
2012-09-30,21.99,$0.97,22.67
2012-06-30,20.01,$0.76,26.32
2012-03-31,18.69,$0.65,28.76
2011-12-31,15.62,$0.53,29.46
2011-09-30,11.94,$0.46,25.95
2011-06-30,13.58,$0.39,34.81
2011-03-31,13.09,$0.35,37.4
2010-12-31,10.92,$0.33,33.09
2010-09-30,10.01,$0.30,33.36
2010-06-30,8.62,$0.12,71.82
2009-12-31,7.06,$0.37,19.07
2009-09-30,6.37,$0.34,18.74
