Seaboard PE Ratio Historical Data,Seaboard PE Ratio Historical Data,Seaboard PE Ratio Historical Data,Seaboard PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3056.0,,11.81
2024-06-30,3158.45,$258.70,12.21
2024-03-31,3219.41,$240.68,13.38
2023-12-31,3562.73,$204.24,17.44
2023-09-30,3742.88,$331.68,11.28
2023-06-30,3548.92,$348.91,10.17
2023-03-31,3755.29,$396.64,9.47
2022-12-31,3758.35,$499.70,7.52
2022-09-30,3385.53,$410.86,8.24
2022-06-30,3860.91,$366.58,10.53
2022-03-31,4179.52,$425.61,9.82
2021-12-31,3908.36,$490.36,7.97
2021-09-30,4069.93,$609.61,6.68
2021-06-30,3838.28,$654.28,5.87
2021-03-31,3658.74,$480.37,7.62
2020-12-31,3003.27,$237.91,12.62
2020-09-30,2808.95,$165.30,16.99
2020-06-30,2902.78,$33.13,87.62
2020-03-31,2780.87,$105.61,26.33
2019-12-31,4199.53,$116.46,36.06
2019-09-30,4320.22,$-3.55,0.0
2019-06-30,4082.53,$8.73,467.64
2018-12-31,3487.77,$-14.65,0.0
2018-09-30,3655.83,$82.31,44.42
2018-06-30,3903.25,$101.20,38.57
2018-03-31,4199.4,$164.12,25.59
2017-12-31,4340.55,$187.88,23.1
2019-03-31,4226.29,$240.34,17.58
2017-09-30,4432.47,$279.38,15.87
2017-06-30,3929.29,$274.60,14.31
2017-03-31,4099.24,$270.00,15.18
2016-12-31,3883.9,$286.86,13.54
2016-09-30,3380.73,$201.62,16.77
2016-03-31,2951.27,$164.24,17.97
2015-12-31,2844.86,$146.82,19.38
2015-09-30,3025.95,$159.51,18.97
2015-06-30,3536.99,$246.41,14.35
2015-03-31,4060.8,$298.38,13.61
2014-12-31,4125.62,$310.44,13.29
2014-09-30,2628.9,$273.96,9.6
2014-06-30,2968.23,$210.46,14.1
2014-03-31,2576.28,$164.52,15.66
2013-12-31,2746.81,$187.00,14.69
2013-09-30,2700.65,$184.01,14.68
2013-06-30,2661.34,$199.60,13.33
2012-12-31,2486.29,$234.53,10.6
2012-09-30,2210.18,$236.62,9.34
2012-06-30,2085.84,$222.68,9.37
2012-03-31,1907.88,$211.17,9.03
2011-12-31,1991.01,$236.51,8.42
2013-03-31,2751.75,$267.50,10.29
2011-09-30,1762.17,$304.53,5.79
2011-06-30,2364.56,$307.20,7.7
2011-03-31,2359.67,$282.20,8.36
2010-12-31,1947.0,$249.30,7.81
2010-09-30,1725.98,$215.13,8.02
2016-06-30,2821.18,$192.80,14.63
2010-06-30,1470.99,$154.15,9.54
2010-03-31,1264.94,$112.70,11.22
2009-12-31,1312.81,$74.75,17.56
