Ero Copper PE Ratio Historical Data,Ero Copper PE Ratio Historical Data,Ero Copper PE Ratio Historical Data,Ero Copper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.45,,29.92
2024-03-31,19.28,$0.65,29.66
2023-12-31,15.79,$0.98,16.11
2023-09-30,17.24,$0.85,20.28
2023-06-30,20.23,$0.86,23.52
2023-03-31,17.64,$0.80,22.05
2022-12-31,13.75,$1.11,12.39
2022-09-30,11.0,$1.52,7.24
2022-06-30,8.43,$1.76,4.79
2022-03-31,14.64,$2.39,6.13
