MP Materials PE Ratio Historical Data,MP Materials PE Ratio Historical Data,MP Materials PE Ratio Historical Data,MP Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.29,,0.0
2024-06-30,12.73,$-0.40,0.0
2024-03-31,14.3,$-0.15,0.0
2023-12-31,19.85,$0.13,152.69
2023-09-30,19.1,$0.58,32.93
2023-06-30,22.88,$0.93,24.6
2023-03-31,28.19,$1.27,22.2
2022-12-31,24.28,$1.52,15.97
2022-09-30,27.3,$1.42,19.23
2022-06-30,32.08,$1.32,24.3
2022-03-31,57.34,$1.09,52.61
2021-12-31,45.42,$0.73,62.22
2021-09-30,32.23,$0.67,48.1
2021-06-30,36.86,$0.44,83.77
2021-03-31,35.95,$0.29,123.97
