FIGS PE Ratio Historical Data,FIGS PE Ratio Historical Data,FIGS PE Ratio Historical Data,FIGS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.63,,66.3
2024-06-30,5.33,$0.10,53.3
2024-03-31,4.98,$0.11,45.27
2023-12-31,6.95,$0.11,63.18
2023-09-30,5.9,$0.08,73.75
2023-06-30,8.27,$0.07,118.14
2023-03-31,6.19,$0.08,77.38
2022-12-31,6.73,$0.12,56.08
2022-09-30,8.25,$0.16,51.56
2022-06-30,9.11,$0.17,53.59
2022-03-31,21.52,$-0.12,0.0
