Array Technologies PE Ratio Historical Data,Array Technologies PE Ratio Historical Data,Array Technologies PE Ratio Historical Data,Array Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.68,,55.67
2024-06-30,10.26,$0.12,85.5
2024-03-31,14.91,$0.38,39.24
2023-12-31,16.8,$0.54,31.11
2023-09-30,22.19,$0.39,56.9
2023-06-30,22.6,$0.51,44.31
2023-03-31,21.88,$0.07,312.57
2022-12-31,19.33,$-0.25,0.0
2022-09-30,16.58,$-0.39,0.0
2022-06-30,11.01,$-0.82,0.0
2022-03-31,11.27,$-0.72,0.0
2021-12-31,15.69,$-0.47,0.0
2021-09-30,18.52,$-0.30,0.0
