Vertex PE Ratio Historical Data,Vertex PE Ratio Historical Data,Vertex PE Ratio Historical Data,Vertex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.7,,355.83
2024-06-30,36.05,$0.12,300.42
2024-03-31,31.76,$0.04,794.0
2023-12-31,26.94,$-0.10,0.0
2023-09-30,23.1,$-0.23,0.0
2023-06-30,19.5,$-0.22,0.0
2023-03-31,20.69,$-0.21,0.0
2022-12-31,14.51,$-0.09,0.0
2022-09-30,13.67,$-0.05,0.0
2022-06-30,11.33,$-0.07,0.0
2022-03-31,15.34,$-0.02,0.0
2021-12-31,15.87,$-0.01,0.0
2021-09-30,19.22,$-0.01,0.0
2021-06-30,21.94,$-0.13,0.0
