Ivanhoe Electric PE Ratio Historical Data,Ivanhoe Electric PE Ratio Historical Data,Ivanhoe Electric PE Ratio Historical Data,Ivanhoe Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.9,,0.0
2024-06-30,9.38,$-1.05,0.0
2024-03-31,9.8,$-1.07,0.0
2023-12-31,10.08,$-1.14,0.0
2023-09-30,11.9,$-1.17,0.0
2023-06-30,13.04,$-0.86,0.0
2023-03-31,12.15,$-1.30,0.0
