Aspen Aerogels PE Ratio Historical Data,Aspen Aerogels PE Ratio Historical Data,Aspen Aerogels PE Ratio Historical Data,Aspen Aerogels PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.44,,0.0
2024-06-30,23.85,$-0.01,0.0
2024-03-31,17.6,$-0.44,0.0
2023-12-31,15.78,$-0.66,0.0
2023-09-30,8.6,$-0.85,0.0
2023-06-30,7.89,$-1.41,0.0
2023-03-31,7.45,$-1.87,0.0
2022-12-31,11.79,$-2.22,0.0
2022-09-30,9.22,$-2.52,0.0
2022-06-30,9.88,$-2.01,0.0
2022-03-31,34.48,$-1.56,0.0
2021-12-31,49.79,$-1.19,0.0
2021-09-30,46.01,$-0.92,0.0
2021-06-30,29.92,$-0.93,0.0
2021-03-31,20.34,$-0.91,0.0
2020-12-31,16.69,$-0.82,0.0
2020-09-30,10.95,$-0.63,0.0
2020-06-30,6.58,$-0.47,0.0
2020-03-31,6.14,$-0.48,0.0
2019-12-31,7.76,$-0.60,0.0
2019-09-30,5.92,$-1.15,0.0
2019-06-30,7.13,$-1.33,0.0
2019-03-31,2.55,$-1.40,0.0
2018-12-31,2.13,$-1.44,0.0
2018-09-30,4.57,$-0.92,0.0
2018-06-30,4.9,$-0.78,0.0
2018-03-31,4.27,$-0.72,0.0
2017-12-31,4.88,$-0.82,0.0
2017-09-30,4.35,$-1.00,0.0
2017-06-30,4.45,$-1.00,0.0
2017-03-31,4.15,$-0.85,0.0
2016-12-31,4.13,$-0.39,0.0
2016-09-30,5.96,$-0.25,0.0
2016-03-31,4.5,$-0.24,0.0
2015-12-31,6.07,$-0.28,0.0
2015-09-30,7.5,$-0.47,0.0
2015-06-30,6.62,$-14.24,0.0
2015-03-31,7.28,$-14.18,0.0
2014-12-31,7.98,$-14.16,0.0
