AST SpaceMobile PE Ratio Historical Data,AST SpaceMobile PE Ratio Historical Data,AST SpaceMobile PE Ratio Historical Data,AST SpaceMobile PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.49,,0.0
2024-06-30,11.61,$-1.25,0.0
2024-03-31,2.9,$-0.98,0.0
2023-12-31,6.03,$-1.05,0.0
2023-09-30,3.8,$-0.84,0.0
2023-06-30,4.7,$-0.79,0.0
2023-03-31,5.08,$-0.61,0.0
2022-12-31,4.82,$-0.59,0.0
2022-09-30,7.22,$-0.51,0.0
2022-06-30,6.28,$-0.26,0.0
2022-03-31,9.98,$-0.59,0.0
2021-12-31,7.94,$-0.38,0.0
2021-09-30,10.82,$-0.32,0.0
2021-06-30,12.94,$-0.39,0.0
2021-03-31,11.67,0,0.0
2020-12-31,13.58,0,0.0
2020-09-30,10.07,0,0.0
