Academy Sports And Outdoors PE Ratio Historical Data,Academy Sports And Outdoors PE Ratio Historical Data,Academy Sports And Outdoors PE Ratio Historical Data,Academy Sports And Outdoors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,55.38,,8.55
2024-07-31,54.07,$6.48,8.34
2024-04-30,58.3,$6.54,8.91
2024-01-31,62.73,$6.72,9.33
2023-10-31,44.84,$6.48,6.92
2023-07-31,59.79,$6.79,8.81
2023-04-30,63.52,$7.00,9.07
2023-01-31,58.42,$7.50,7.79
2022-10-31,44.03,$7.10,6.2
2022-07-31,43.03,$7.20,5.98
2022-04-30,37.28,$6.97,5.35
2022-01-31,38.74,$7.12,5.44
2021-10-31,42.6,$6.52,6.53
2021-07-31,36.89,$5.54,6.66
