Telephone And Data Systems PE Ratio Historical Data,Telephone And Data Systems PE Ratio Historical Data,Telephone And Data Systems PE Ratio Historical Data,Telephone And Data Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.26,,0.0
2024-06-30,20.7,$-4.83,0.0
2024-03-31,15.96,$-4.87,0.0
2023-12-31,18.06,$-5.05,0.0
2023-09-30,17.84,$-0.79,0.0
2023-06-30,7.94,$-0.85,0.0
2023-03-31,9.89,$-0.53,0.0
2022-12-31,9.69,$-0.08,0.0
2022-09-30,12.63,$0.41,30.8
2022-06-30,14.18,$0.87,16.3
2022-03-31,16.75,$0.89,18.83
2021-12-31,17.71,$1.00,17.71
2021-09-30,16.99,$1.01,16.83
2021-06-30,19.57,$1.43,13.69
2021-03-31,19.69,$1.82,10.82
2020-12-31,15.8,$1.93,8.19
2020-09-30,15.55,$1.91,8.14
2020-06-30,16.63,$1.40,11.88
2020-03-31,13.9,$1.12,12.41
2019-12-31,20.88,$1.03,20.27
2019-09-30,21.04,$1.07,19.66
2019-06-30,24.64,$1.32,18.66
2019-03-31,24.77,$1.33,18.62
2018-12-31,26.09,$1.17,22.3
2018-09-30,24.29,$3.57,6.8
2018-06-30,21.77,$1.53,14.23
2018-03-31,22.12,$1.33,16.64
2017-12-31,21.82,$1.32,16.53
2017-09-30,21.76,$-1.27,0.0
2017-06-30,21.53,$0.48,44.85
2017-03-31,20.45,$0.64,31.96
2016-12-31,22.14,$0.38,58.27
2016-09-30,20.74,$0.42,49.38
2016-06-30,22.51,$0.77,29.23
2016-03-31,22.71,$0.73,31.11
2015-12-31,19.44,$1.99,9.77
2015-09-30,18.64,$1.85,10.08
2015-06-30,21.84,$0.32,68.25
2015-03-31,18.41,$-0.09,0.0
2014-12-31,18.57,$-1.26,0.0
2014-09-30,17.52,$-1.17,0.0
2014-06-30,19.0,$-0.19,0.0
2014-03-31,18.97,$1.43,13.27
2013-12-31,18.55,$1.28,14.49
2013-09-30,21.15,$0.95,22.27
2013-06-30,17.57,$1.31,13.41
2013-03-31,14.93,$0.28,53.32
2012-12-31,15.6,$0.75,20.8
2012-09-30,17.94,$1.08,16.62
2012-06-30,14.85,$1.44,10.34
2012-03-31,16.05,$1.85,8.7
2011-12-31,16.43,$1.73,9.48
2011-09-30,13.42,$1.92,6.98
2011-06-30,19.54,$1.65,11.86
2011-03-31,21.1,$1.20,17.64
2010-12-31,22.8,$1.25,18.22
2010-09-30,20.39,$1.26,16.18
2010-06-30,18.83,$1.21,15.51
2010-03-31,20.9,$1.44,14.47
2009-12-31,20.88,$1.61,12.97
