PE Ratio Historical Data,PE Ratio Historical Data,PE Ratio Historical Data,PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-09-16,27.49,,inf
2024-06-30,27.04,0.0,0.0
2024-03-31,18.32,0.0,0.0
2023-12-31,12.27,0.0,0.0
2023-09-30,14.99,0.0,0.0
2023-06-30,32.49,0.0,0.0
2023-03-31,39.13,0.0,0.0
2022-12-31,52.85,0.0,0.0
2022-09-30,45.0,0.0,0.0
2022-06-30,36.39,0.0,0.0
2022-03-31,41.29,0.0,0.0
2021-12-31,42.61,0.0,0.0
2021-09-30,55.03,0.0,0.0
2021-06-30,47.86,0.0,0.0
2021-03-31,50.65,0.0,0.0
2020-12-31,62.98,0.0,0.0
2020-09-30,67.21,0.0,0.0
2020-06-30,41.89,0.0,0.0
2020-03-31,31.48,0.0,0.0
