IQIYI PE Ratio Historical Data,IQIYI PE Ratio Historical Data,IQIYI PE Ratio Historical Data,IQIYI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,2.36,,9.83
2024-06-30,3.67,$0.24,15.29
2024-03-31,4.23,$0.28,15.11
2023-12-31,4.88,$0.22,22.18
2023-09-30,4.74,$0.20,23.7
2023-06-30,5.34,$0.07,76.29
2023-03-31,7.28,$-0.02,0.0
2022-12-31,5.3,$-0.02,0.0
2022-09-30,2.71,$-0.42,0.0
2022-06-30,4.2,$-0.70,0.0
2022-03-31,4.54,$-0.93,0.0
2021-12-31,4.56,$-1.21,0.0
2021-09-30,8.03,$-1.18,0.0
2021-06-30,15.58,$-1.08,0.0
2021-03-31,16.62,$-1.09,0.0
2020-12-31,17.48,$-1.40,0.0
2020-09-30,22.58,$-1.57,0.0
2020-06-30,23.19,$-2.05,0.0
2020-03-31,17.8,$-2.26,0.0
2019-12-31,21.11,$-2.05,0.0
2019-09-30,16.13,$-2.26,0.0
2019-06-30,20.65,$-2.17,0.0
2019-03-31,23.92,$-2.13,0.0
2018-12-31,14.87,$-3.95,0.0
