Oruka Therapeutics PE Ratio Historical Data,Oruka Therapeutics PE Ratio Historical Data,Oruka Therapeutics PE Ratio Historical Data,Oruka Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.81,,0.0
2024-06-30,27.94,$-6.00,0.0
2024-03-31,12.84,$-5.04,0.0
2023-12-31,12.4,$-4.44,0.0
2023-09-30,14.66,$-4.44,0.0
2023-06-30,14.81,$-5.16,0.0
2023-03-31,14.52,$-6.60,0.0
2022-12-31,17.29,$-8.28,0.0
2022-09-30,15.03,$-12.12,0.0
2022-06-30,18.16,$-14.17,0.0
2022-03-31,16.78,$-15.61,0.0
2021-12-31,15.68,$-16.81,0.0
2021-09-30,21.59,$-19.33,0.0
2021-06-30,25.46,$-19.33,0.0
2021-03-31,26.62,$-24.01,0.0
2020-12-31,29.25,$-30.01,0.0
2020-09-30,32.24,$-30.97,0.0
2020-06-30,48.29,$-36.13,0.0
2020-03-31,20.35,$-41.06,0.0
2019-12-31,41.65,$-53.42,0.0
2019-09-30,39.02,$-66.73,0.0
2019-06-30,53.39,$-81.36,0.0
2019-03-31,49.05,$-100.06,0.0
2018-12-31,43.79,$-120.91,0.0
2018-09-30,73.52,$-172.73,0.0
2018-06-30,73.0,$-233.19,0.0
2018-03-31,65.57,$-328.19,0.0
2017-12-31,177.24,$-388.65,0.0
2017-09-30,150.98,$-414.56,0.0
2017-06-30,315.1,$-440.47,0.0
2017-03-31,334.79,$-405.92,0.0
2016-12-31,374.18,$-388.64,0.0
2016-09-30,371.55,$-349.78,0.0
2016-06-30,380.74,$-306.60,0.0
2016-03-31,455.58,$-364.85,0.0
2015-12-31,610.5,$-474.90,0.0
2015-09-30,651.2,"$-1,712.09",0.0
2015-06-30,1056.89,"$-1,811.37",0.0
2015-03-31,726.13,"$-1,826.48",0.0
2014-12-31,876.39,"$-1,826.48",0.0
2014-09-30,1139.61,$-528.84,0.0
2014-06-30,1341.79,$-604.38,0.0
2014-03-31,1709.41,"$-1,420.29",0.0
2013-12-31,1543.98,"$-1,752.70",0.0
2013-09-30,1470.46,"$-2,205.98",0.0
2013-06-30,1185.56,"$-2,583.71",0.0
2013-03-31,2187.31,"$-1,601.60",0.0
2012-12-31,2095.4,"$-2,160.42",0.0
2012-09-30,1909.02,"$-3,066.72",0.0
2012-06-30,2646.83,"$-3,988.09",0.0
2012-03-31,5017.94,"$-3,716.17",0.0
2011-12-31,5514.22,"$-4,894.48",0.0
2011-09-30,6175.93,"$-5,166.39",0.0
2011-06-30,8877.9,"$-5,800.85",0.0
2011-03-31,14061.27,"$-8,429.38",0.0
2010-12-31,17480.09,"$-9,063.84",0.0
2010-09-30,21009.19,"$-15,227.26",0.0
2010-06-30,18913.78,"$-18,218.33",0.0
2010-03-31,30052.51,"$-26,194.52",0.0
2009-12-31,17976.37,"$-10,514.07",0.0
