Kornit Digital PE Ratio Historical Data,Kornit Digital PE Ratio Historical Data,Kornit Digital PE Ratio Historical Data,Kornit Digital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.68,,0.0
2024-06-30,14.64,$-1.03,0.0
2024-03-31,18.12,$-1.22,0.0
2023-12-31,19.16,$-1.32,0.0
2023-09-30,18.91,$-1.55,0.0
2023-06-30,29.37,$-1.76,0.0
2023-03-31,19.36,$-1.86,0.0
2022-12-31,22.97,$-1.58,0.0
2022-09-30,26.61,$-0.85,0.0
2022-06-30,31.7,$-0.39,0.0
2022-03-31,82.69,$0.12,689.08
2021-12-31,152.25,$0.33,461.36
2021-09-30,144.74,$0.43,336.6
2021-06-30,124.33,$0.44,282.57
2021-03-31,99.12,$0.21,472.0
2020-12-31,89.13,$-0.15,0.0
2020-09-30,64.87,$-0.16,0.0
2020-06-30,53.38,$-0.20,0.0
2020-03-31,24.89,$-0.08,0.0
2019-12-31,34.23,$0.12,285.25
2019-09-30,30.78,$0.20,153.9
2019-06-30,31.66,$0.24,131.92
2019-03-31,23.8,$0.28,85.0
2018-12-31,18.72,$0.35,53.49
2018-09-30,21.9,$0.15,146.0
2018-06-30,17.8,$0.06,296.67
2018-03-31,12.9,$0.02,645.0
2017-12-31,16.15,$-0.05,0.0
2017-09-30,15.3,$-0.01,0.0
2017-06-30,19.35,$-0.00,0.0
2017-03-31,19.1,$-0.01,0.0
2016-12-31,12.65,$0.03,421.67
2016-09-30,9.38,$0.07,134.0
2016-06-30,9.76,$0.13,75.08
2016-03-31,9.95,$0.15,66.33
