Lufax Holding PE Ratio Historical Data,Lufax Holding PE Ratio Historical Data,Lufax Holding PE Ratio Historical Data,Lufax Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.01,,0.0
2024-06-30,2.37,$-0.57,0.0
2024-03-31,4.22,$-0.14,0.0
2023-12-31,3.07,$0.23,13.35
2023-09-30,1.06,$0.24,4.42
2023-06-30,1.43,$0.52,2.75
2023-03-31,2.04,$1.04,1.96
2022-12-31,1.94,$1.92,1.01
2022-09-30,2.37,$3.28,0.72
2021-12-31,4.97,$4.16,1.19
2021-09-30,6.16,$4.16,1.48
2021-06-30,9.98,$3.84,2.6
2021-03-31,12.82,$4.04,3.17
