Essential Properties Realty Trust PE Ratio Historical Data,Essential Properties Realty Trust PE Ratio Historical Data,Essential Properties Realty Trust PE Ratio Historical Data,Essential Properties Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.85,,28.93
2024-06-30,27.48,$1.17,23.48
2024-03-31,26.16,$1.23,21.27
2023-12-31,24.82,$1.24,20.01
2023-09-30,20.77,$1.18,17.6
2023-06-30,22.32,$1.15,19.41
2023-03-31,23.29,$1.07,21.77
2022-12-31,21.75,$0.99,21.97
2022-09-30,17.81,$0.98,18.18
2022-06-30,19.41,$0.95,20.43
2022-03-31,22.57,$0.88,25.64
2021-12-31,25.46,$0.81,31.43
2021-09-30,24.43,$0.62,39.4
2021-06-30,23.45,$0.52,45.1
2021-03-31,19.62,$0.43,45.63
2020-12-31,18.03,$0.44,40.98
2020-09-30,15.41,$0.57,27.03
2020-06-30,12.32,$0.62,19.87
2020-03-31,10.68,$0.65,16.43
2019-12-31,19.95,$0.63,31.67
2019-09-30,18.25,$0.58,31.47
2019-06-30,15.81,$0.52,30.41
2019-03-31,15.23,$0.38,40.08
