Instructure Holdings PE Ratio Historical Data,Instructure Holdings PE Ratio Historical Data,Instructure Holdings PE Ratio Historical Data,Instructure Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.57,,0.0
2024-06-30,23.41,$-0.37,0.0
2024-03-31,21.38,$-0.31,0.0
2023-12-31,27.01,$-0.24,0.0
2023-09-30,25.4,$-0.24,0.0
2023-06-30,25.16,$-0.27,0.0
2023-03-31,25.9,$-0.28,0.0
2022-12-31,23.44,$-0.24,0.0
2022-09-30,22.28,$-0.35,0.0
2022-06-30,22.7,$-0.38,0.0
