DLocal PE Ratio Historical Data,DLocal PE Ratio Historical Data,DLocal PE Ratio Historical Data,DLocal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.0,,20.45
2024-06-30,8.09,$0.44,18.39
2024-03-31,14.7,$0.44,33.41
2023-12-31,17.69,$0.49,36.1
2023-09-30,19.17,$0.45,42.6
2023-06-30,12.21,$0.42,29.06
2023-03-31,16.22,$0.37,43.84
2022-12-31,15.57,$0.34,45.79
2022-09-30,20.52,$0.36,57.0
2022-06-30,26.25,$0.32,82.03
2022-03-31,31.26,$0.28,111.64
