Immunocore Holdings PE Ratio Historical Data,Immunocore Holdings PE Ratio Historical Data,Immunocore Holdings PE Ratio Historical Data,Immunocore Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.75,,0.0
2024-06-30,33.89,$-1.08,0.0
2024-03-31,65.0,$-1.22,0.0
2023-12-31,68.32,$-1.16,0.0
2023-09-30,51.9,$-1.39,0.0
2023-06-30,59.96,$-1.29,0.0
2023-03-31,49.44,$-1.09,0.0
2022-12-31,57.07,$-1.14,0.0
2022-09-30,46.94,$-1.72,0.0
2022-06-30,37.31,$-2.81,0.0
2022-03-31,29.9,$-3.68,0.0
2021-12-31,34.24,$-4.25,0.0
