Blackstone Mortgage Trust PE Ratio Historical Data,Blackstone Mortgage Trust PE Ratio Historical Data,Blackstone Mortgage Trust PE Ratio Historical Data,Blackstone Mortgage Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.73,,0.0
2024-06-30,17.0,$-0.90,0.0
2024-03-31,18.76,$0.03,625.4
2023-12-31,19.43,$1.41,13.78
2023-09-30,19.33,$1.14,16.95
2023-06-30,17.98,$1.56,11.52
2023-03-31,14.97,$1.52,9.85
2022-12-31,17.15,$1.43,11.99
2022-09-30,18.38,$2.47,7.44
2022-06-30,21.23,$2.44,8.7
2022-03-31,23.87,$2.79,8.55
2021-12-31,22.55,$2.75,8.2
2021-09-30,21.89,$2.56,8.55
2021-06-30,22.57,$2.61,8.65
2021-03-31,21.52,$1.85,11.63
2020-12-31,18.74,$0.92,20.37
2020-09-30,14.63,$0.94,15.56
2020-06-30,15.6,$0.89,17.53
2020-03-31,11.76,$1.35,8.71
2019-12-31,22.78,$2.36,9.65
2019-09-30,21.58,$2.38,9.07
2019-06-30,21.05,$2.49,8.46
2019-03-31,20.1,$2.56,7.85
2018-12-31,18.2,$2.50,7.28
2018-09-30,18.78,$2.48,7.57
2018-06-30,17.29,$2.42,7.15
2018-03-31,16.95,$2.29,7.4
2017-12-31,17.02,$2.27,7.5
2017-09-30,16.1,$2.25,7.16
2017-06-30,16.08,$2.33,6.9
2017-03-31,15.46,$2.47,6.26
2016-12-31,14.72,$2.54,5.79
2016-09-30,14.12,$2.67,5.29
2016-06-30,13.0,$2.70,4.81
2016-03-31,12.33,$2.39,5.16
2015-12-31,12.01,$2.38,5.05
2015-09-30,12.04,$2.05,5.87
2015-06-30,11.93,$1.78,6.7
2015-03-31,11.95,$2.12,5.64
2014-12-31,12.05,$1.86,6.48
2014-09-30,11.01,$1.73,6.36
2014-06-30,11.57,$1.57,7.37
2014-03-31,11.28,$1.09,10.35
2013-12-31,10.47,$-0.28,0.0
2013-09-30,9.56,$40.08,0.24
2013-06-30,9.28,$42.59,0.22
2013-03-31,10.26,$43.27,0.24
2012-12-31,7.89,$71.70,0.11
2012-09-30,6.75,$27.40,0.25
2012-06-30,5.16,$30.60,0.17
2012-03-31,6.75,$28.90,0.23
2011-12-31,4.03,$111.90,0.04
2011-09-30,3.99,$120.00,0.03
2011-06-30,6.93,$53.80,0.13
2011-03-31,4.1,$55.90,0.07
2010-12-31,2.77,$-82.90,0.0
2010-09-30,2.9,$-261.40,0.0
2010-06-30,2.95,$-248.70,0.0
2010-03-31,2.77,$-252.90,0.0
2009-12-31,2.27,$-257.30,0.0
