DiamondRock Hospitality PE Ratio Historical Data,DiamondRock Hospitality PE Ratio Historical Data,DiamondRock Hospitality PE Ratio Historical Data,DiamondRock Hospitality PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.1,,31.38
2024-06-30,8.42,$0.29,29.04
2024-03-31,9.54,$0.36,26.51
2023-12-31,9.3,$0.40,23.24
2023-09-30,7.92,$0.48,16.51
2023-06-30,7.88,$0.59,13.35
2022-12-31,7.99,$0.46,17.37
2022-09-30,7.27,$0.36,20.21
2022-06-30,7.92,$0.27,29.34
2022-03-31,9.74,$0.02,487.2
2021-12-31,9.27,$-0.12,0.0
2023-03-31,7.96,$-0.91,0.0
2021-09-30,9.12,$-1.98,0.0
2021-06-30,9.36,$-2.36,0.0
2021-03-31,9.94,$-2.62,0.0
2020-12-31,7.96,$-1.97,0.0
2020-09-30,4.89,$-0.27,0.0
2020-06-30,5.34,$0.19,28.08
2020-03-31,4.9,$0.69,7.1
2019-12-31,10.69,$0.90,11.88
2019-09-30,9.78,$0.36,27.16
2019-06-30,9.75,$0.45,21.66
2019-03-31,10.09,$0.45,22.41
2018-12-31,8.24,$0.43,19.17
2018-09-30,10.6,$0.43,24.64
2018-06-30,11.03,$0.39,28.28
2018-03-31,9.28,$0.43,21.59
2017-12-31,9.92,$0.45,22.05
2017-09-30,9.52,$0.45,21.15
2017-06-30,9.41,$0.49,19.21
2017-03-31,9.48,$0.53,17.88
2016-12-31,9.69,$0.57,17.0
2016-09-30,7.57,$0.59,12.82
2016-06-30,7.4,$0.56,13.22
2016-03-31,8.18,$0.46,17.78
2015-12-31,7.7,$0.43,17.91
2015-09-30,8.71,$0.61,14.28
2015-06-30,9.98,$0.71,14.06
2015-03-31,10.91,$0.61,17.88
2014-12-31,11.38,$0.71,16.03
2014-09-30,9.64,$0.43,22.41
2014-03-31,8.79,$0.29,30.31
2013-12-31,8.57,$0.25,34.26
2013-09-30,7.86,$0.19,41.35
2013-06-30,6.81,$0.42,16.21
2013-03-31,6.74,$0.10,67.37
2012-12-31,6.45,$0.17,37.95
2014-06-30,9.67,$0.10,96.68
2012-09-30,6.84,$-0.14,0.0
2012-06-30,7.19,$0.09,79.86
2012-03-31,7.2,$0.04,179.91
2011-12-31,6.69,$-0.05,0.0
2011-09-30,4.81,$-0.07,0.0
2011-06-30,7.31,$-0.08,0.0
2011-03-31,7.54,$-0.07,0.0
2010-12-31,8.05,$-0.07,0.0
2010-09-30,6.36,$-0.15,0.0
2010-06-30,5.51,$-0.12,0.0
2010-03-31,6.78,$-0.11,0.0
2009-12-31,5.68,$-0.10,0.0
