PROCEPT BioRobotics PE Ratio Historical Data,PROCEPT BioRobotics PE Ratio Historical Data,PROCEPT BioRobotics PE Ratio Historical Data,PROCEPT BioRobotics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,69.08,,0.0
2024-06-30,61.09,$-2.06,0.0
2024-03-31,49.42,$-2.12,0.0
2023-12-31,41.91,$-2.24,0.0
2023-09-30,32.81,$-2.33,0.0
2023-06-30,35.35,$-2.33,0.0
2023-03-31,28.4,$-2.20,0.0
2022-12-31,41.54,$-1.96,0.0
2022-09-30,41.46,$-1.75,0.0
2022-06-30,32.69,$-2.46,0.0
