Duolingo PE Ratio Historical Data,Duolingo PE Ratio Historical Data,Duolingo PE Ratio Historical Data,Duolingo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,287.65,,205.46
2024-06-30,208.67,$1.40,149.05
2024-03-31,220.58,$0.97,227.4
2023-12-31,226.85,$0.34,667.21
2023-09-30,165.87,$-0.27,0.0
2023-06-30,142.94,$-0.79,0.0
2023-03-31,142.59,$-1.25,0.0
2022-12-31,71.13,$-1.50,0.0
2022-09-30,95.23,$-1.61,0.0
2022-06-30,87.55,$-2.13,0.0
