Upwork PE Ratio Historical Data,Upwork PE Ratio Historical Data,Upwork PE Ratio Historical Data,Upwork PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.26,,18.65
2024-06-30,10.75,$0.55,19.55
2024-03-31,12.26,$0.35,35.03
2023-12-31,14.87,$0.07,212.43
2023-09-30,11.36,$-0.19,0.0
2023-06-30,9.34,$-0.50,0.0
2023-03-31,11.32,$-0.65,0.0
2022-12-31,10.44,$-0.69,0.0
2022-09-30,13.62,$-0.74,0.0
2022-06-30,20.68,$-0.62,0.0
2022-03-31,23.24,$-0.57,0.0
2021-12-31,34.16,$-0.44,0.0
2021-09-30,45.03,$-0.25,0.0
2021-06-30,58.29,$-0.20,0.0
2021-03-31,44.77,$-0.16,0.0
2020-12-31,34.52,$-0.19,0.0
2020-09-30,17.44,$-0.25,0.0
2020-06-30,14.44,$-0.26,0.0
2020-03-31,6.45,$-0.19,0.0
2019-12-31,10.67,$-0.14,0.0
2019-09-30,13.31,$-0.14,0.0
