MediaAlpha PE Ratio Historical Data,MediaAlpha PE Ratio Historical Data,MediaAlpha PE Ratio Historical Data,MediaAlpha PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.31,,0.0
2024-06-30,13.17,$-0.29,0.0
2024-03-31,20.37,$-0.68,0.0
2023-12-31,11.15,$-0.89,0.0
2023-09-30,8.26,$-1.47,0.0
2023-06-30,10.31,$-1.52,0.0
2023-03-31,14.98,$-1.42,0.0
2022-12-31,9.95,$-1.36,0.0
2022-09-30,8.75,$-0.83,0.0
2022-06-30,9.85,$-0.59,0.0
2022-03-31,16.55,$-0.38,0.0
2021-12-31,15.44,$-0.21,0.0
2021-09-30,18.68,$-0.11,0.0
