Rocket PE Ratio Historical Data,Rocket PE Ratio Historical Data,Rocket PE Ratio Historical Data,Rocket PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.01,,257.29
2024-06-30,13.7,$0.07,195.71
2024-03-31,14.55,$0.11,132.27
2023-12-31,14.48,$-0.16,0.0
2023-09-30,8.18,$-0.21,0.0
2023-06-30,8.96,$-0.21,0.0
2023-03-31,9.06,$-0.24,0.0
2022-12-31,7.0,$0.32,21.88
2022-09-30,6.32,$0.78,8.1
2022-06-30,7.36,$1.28,5.75
2022-03-31,11.12,$1.66,6.7
2021-12-31,12.94,$2.33,5.55
2021-09-30,14.82,$3.10,4.78
2021-06-30,17.88,$3.10,5.77
