First Majestic Silver PE Ratio Historical Data,First Majestic Silver PE Ratio Historical Data,First Majestic Silver PE Ratio Historical Data,First Majestic Silver PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.33,,0.0
2024-06-30,5.92,$-0.27,0.0
2024-03-31,5.87,$-0.16,0.0
2023-12-31,6.14,$-0.48,0.0
2023-09-30,5.11,$-0.58,0.0
2023-06-30,5.63,$-0.57,0.0
2023-03-31,7.17,$-0.83,0.0
2022-12-31,8.29,$-0.43,0.0
2022-09-30,7.57,$-0.39,0.0
2022-06-30,7.13,$-0.38,0.0
2022-03-31,13.06,$-0.00,0.0
2021-12-31,11.02,$-0.02,0.0
2021-09-30,11.2,$0.15,74.67
2021-06-30,15.66,$0.36,43.51
2021-03-31,15.43,$0.25,61.72
2020-12-31,13.31,$0.09,147.9
2020-09-30,9.43,$-0.25,0.0
2020-06-30,9.85,$-0.35,0.0
2020-03-31,6.13,$-0.36,0.0
2019-12-31,12.14,$-0.20,0.0
2019-09-30,9.0,$-0.86,0.0
2019-06-30,7.83,$-0.87,0.0
2019-03-31,6.52,$-1.03,0.0
2018-12-31,5.83,$-1.07,0.0
2018-09-30,5.63,$-0.56,0.0
2018-06-30,7.56,$-0.60,0.0
2018-03-31,6.05,$-0.37,0.0
2017-12-31,6.68,$-0.32,0.0
2017-09-30,6.77,$0.03,225.81
2017-06-30,8.23,$0.09,91.45
2017-03-31,8.04,$0.12,67.02
2016-12-31,7.56,$0.05,151.14
2016-09-30,10.2,$-0.62,0.0
2016-06-30,13.45,$-0.68,0.0
2016-03-31,6.42,$-0.73,0.0
2015-12-31,3.24,$-1.23,0.0
2015-09-30,3.17,$-0.66,0.0
2015-03-31,5.36,$-0.59,0.0
2014-12-31,4.97,$-0.53,0.0
2014-09-30,7.73,$-0.67,0.0
2014-06-30,10.71,$-0.60,0.0
2014-03-31,9.55,$-0.52,0.0
2013-12-31,9.71,$-0.57,0.0
2015-06-30,4.78,$0.35,13.67
2013-09-30,11.75,$0.56,20.98
2013-06-30,10.49,$0.63,16.65
2013-03-31,16.02,$0.77,20.8
2012-12-31,20.0,$0.79,25.31
2012-09-30,22.95,$0.80,28.68
2012-06-30,14.31,$0.86,16.64
2012-03-31,16.42,$1.02,16.1
2011-12-31,16.68,$1.00,16.68
2011-09-30,15.06,$0.94,16.03
2011-06-30,18.26,$0.70,26.09
2011-03-31,21.04,$0.42,50.09
2010-12-31,14.38,$0.20,71.9
2009-12-31,3.9,$0.07,55.75
2009-09-30,2.51,$0.14,17.9
2009-06-30,2.04,$0.21,9.72
2009-03-31,1.66,$0.20,8.32
