QuantumScape PE Ratio Historical Data,QuantumScape PE Ratio Historical Data,QuantumScape PE Ratio Historical Data,QuantumScape PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.34,,0.0
2024-06-30,4.92,$-0.95,0.0
2024-03-31,6.29,$-0.96,0.0
2023-12-31,6.95,$-0.96,0.0
2023-09-30,6.69,$-0.98,0.0
2023-06-30,7.99,$-1.02,0.0
2023-03-31,8.18,$-0.98,0.0
2022-12-31,5.67,$-0.95,0.0
2022-09-30,8.41,$-0.86,0.0
2022-06-30,8.59,$-0.72,0.0
2022-03-31,19.99,$-0.62,0.0
2021-12-31,22.19,$-0.61,0.0
2021-09-30,24.54,$-2.86,0.0
