Dropbox PE Ratio Historical Data,Dropbox PE Ratio Historical Data,Dropbox PE Ratio Historical Data,Dropbox PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,26.37,,15.33
2024-06-30,22.47,$1.72,13.06
2024-03-31,24.3,$1.51,16.09
2023-12-31,29.48,$1.32,22.33
2023-09-30,27.23,$1.59,17.13
2023-06-30,26.67,$1.49,17.9
2023-03-31,21.62,$1.53,14.13
2022-12-31,22.38,$1.54,14.53
2022-09-30,20.72,$0.93,22.28
2022-06-30,20.99,$0.89,23.58
2022-03-31,23.25,$0.94,24.73
2021-12-31,24.54,$0.85,28.87
2021-09-30,29.22,$-0.31,0.0
2021-06-30,30.31,$-0.42,0.0
2021-03-31,26.66,$-0.60,0.0
2020-12-31,22.19,$-0.63,0.0
2020-09-30,19.26,$0.19,101.37
2020-06-30,21.77,$0.07,311.0
2020-03-31,18.1,$-0.02,0.0
2019-12-31,17.91,$-0.13,0.0
2019-09-30,20.17,$-0.13,0.0
2019-06-30,25.05,$-0.10,0.0
2019-03-31,21.8,$-0.06,0.0
2018-12-31,20.43,$-2.17,0.0
