Metals Acquisition PE Ratio Historical Data,Metals Acquisition PE Ratio Historical Data,Metals Acquisition PE Ratio Historical Data,Metals Acquisition PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.38,,inf
2024-06-30,13.69,0.0,0.0
2023-12-31,10.49,0.0,0.0
2023-03-31,10.22,0.0,0.0
2022-12-31,10.01,0.0,0.0
2022-09-30,9.79,0.0,0.0
2022-06-30,9.79,0.0,0.0
