Arhaus PE Ratio Historical Data,Arhaus PE Ratio Historical Data,Arhaus PE Ratio Historical Data,Arhaus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.56,,12.58
2024-03-31,15.39,$0.76,20.25
2023-12-31,11.85,$0.89,13.31
2023-09-30,9.3,$1.01,9.21
2023-06-30,10.43,$1.03,10.13
2023-03-31,8.29,$1.00,8.29
2022-12-31,9.75,$1.02,9.56
2024-06-30,16.94,$0.80,21.18
2022-09-30,7.05,$0.71,9.93
