Ardagh Metal Packaging S.A PE Ratio Historical Data,Ardagh Metal Packaging S.A PE Ratio Historical Data,Ardagh Metal Packaging S.A PE Ratio Historical Data,Ardagh Metal Packaging S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.14,,0.0
2024-06-30,3.4,$-0.12,0.0
2024-03-31,3.43,$-0.14,0.0
2023-12-31,3.84,$-0.12,0.0
2023-09-30,3.13,$0.00,0.0
2023-06-30,3.76,$0.08,47.0
2023-03-31,4.08,$0.28,14.57
2022-12-31,4.81,$0.32,15.03
2022-09-30,4.84,$-0.02,0.0
2022-06-30,6.1,$-0.12,0.0
2021-12-31,8.73,$-0.29,0.0
2021-09-30,9.63,$-0.32,0.0
2021-06-30,9.77,0,0.0
2021-03-31,9.65,$0.09,107.25
