First Watch Restaurant PE Ratio Historical Data,First Watch Restaurant PE Ratio Historical Data,First Watch Restaurant PE Ratio Historical Data,First Watch Restaurant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.54,,42.41
2024-06-30,17.56,$0.39,45.03
2024-03-31,24.62,$0.38,64.79
2023-12-31,20.1,$0.41,49.02
2023-09-30,17.29,$0.36,48.03
2023-06-30,16.9,$0.27,62.59
2023-03-31,16.06,$0.19,84.53
2022-12-31,13.53,$0.12,112.75
2022-09-30,14.48,$0.05,289.6
